SK_ID_CURR,TARGET
286161,0
366766,0
120323,0
354174,0
391419,0
150525,0
338232,0
270471,0
343117,0
345927,0
240973,0
210561,0
300994,0
279627,0
182224,0
143524,0
255761,0
416251,0
342132,1
287880,0
145756,0
293867,0
182808,0
180068,0
126385,0
329244,0
403912,0
131024,0
210362,0
289724,0
313278,0
217115,0
388756,0
331655,0
210328,0
413255,0
348655,0
294779,0
142124,0
338683,0
101387,0
387338,0
232283,0
119691,0
265204,0
239253,0
427900,0
372582,0
279092,0
128175,0
256133,0
421104,0
268103,0
159317,0
109187,0
453967,0
173149,0
334823,0
169814,0
191047,0
136327,0
431205,0
328335,1
353175,0
183728,0
216368,0
285214,0
388949,0
313556,0
165671,0
427239,0
370519,1
455155,0
345650,0
193010,0
155441,0
238037,1
342014,1
352763,0
324909,1
203548,0
147095,0
324282,0
444615,1
260407,0
136072,0
123421,1
264273,0
409355,1
254304,0
189681,1
321164,0
229542,0
170009,0
129581,0
116475,0
312911,0
289903,0
305427,0
206577,0
381700,0
327705,1
375233,0
172994,1
410392,0
304638,0
335475,0
267543,0
191196,0
321062,1
178651,0
297223,0
187002,1
106568,0
421228,0
454435,0
231455,0
389084,0
195071,0
203327,0
433869,0
327027,0
294772,0
421372,0
407816,0
298513,0
329358,0
101600,0
311783,0
153870,0
161007,0
219871,0
101342,0
111131,0
349524,0
148202,1
103673,0
137767,0
312365,0
455442,0
315717,1
290212,0
336927,0
407661,0
296781,0
123656,0
333864,0
449733,0
133990,0
316362,0
438953,0
161421,0
368741,0
111945,0
270930,0
419967,0
359779,0
134347,0
388342,0
152086,0
264570,0
322562,0
375662,0
452550,0
391099,0
219427,1
155674,0
106194,0
343199,1
426848,0
424862,0
417285,0
294377,0
303252,0
224245,0
292377,0
141700,1
291254,0
244251,0
326091,0
276766,0
249725,1
200369,1
207591,0
377035,0
117413,0
114436,0
109300,0
399361,0
165935,0
302570,0
374368,0
130333,0
180022,0
288715,0
432508,0
323808,0
283156,1
343294,0
288468,0
278939,0
387397,0
357465,0
375610,0
210180,0
324350,1
224892,0
235874,0
124159,0
132527,0
334136,0
334905,0
401244,0
109495,0
184582,0
358459,0
274279,0
417877,0
296621,0
429193,0
297151,0
124599,1
342574,0
243444,0
187946,0
202722,0
296961,0
308860,0
383305,0
117799,0
282972,0
104991,0
429703,0
158759,0
209698,0
232418,1
309690,0
210559,0
312741,0
201810,0
131741,0
405199,0
327941,1
397508,0
359426,0
372961,0
124543,0
242115,0
420468,0
183325,0
230903,0
210024,0
120577,0
349989,0
214671,0
383691,0
123016,0
356197,0
333534,1
155875,0
196350,0
445738,0
413701,0
323645,0
294828,0
335828,0
296363,0
455734,0
168724,0
181667,0
319429,0
246723,0
254492,0
455407,0
361270,0
394077,0
309918,0
112857,0
331415,0
405918,0
203593,0
324906,0
344551,0
157055,0
433460,0
253121,0
192913,0
197578,0
339671,1
231023,0
142524,0
182572,0
132539,0
136208,0
371515,0
363138,0
269068,0
235973,0
325949,0
259435,0
425624,0
444546,1
156827,0
400539,0
280051,0
435733,0
266193,0
199441,0
254162,0
389990,0
125864,0
167744,0
226627,0
349789,0
204766,0
225186,0
396677,0
138505,0
343510,0
342392,0
178798,0
443968,0
146700,0
364333,0
214714,0
416181,1
291900,0
349302,0
450445,0
381724,0
348393,0
244245,0
439103,0
396135,0
273596,0
114086,0
334929,0
241294,0
396707,0
354401,0
137293,0
323409,0
215309,0
357494,0
429388,0
340719,0
403671,0
401471,0
122340,0
412048,0
342518,0
399634,0
438844,0
334625,0
343507,0
224817,0
297031,0
415287,0
238368,0
172841,0
275692,0
435365,0
145221,0
422241,0
433921,0
410676,0
211202,1
119538,0
319861,0
366821,0
305580,0
323249,0
202152,0
303278,0
257659,0
293044,0
296049,0
422433,0
354916,1
366715,0
208779,0
450144,0
286828,0
445208,0
230031,0
125676,0
436237,0
452243,0
248260,0
143321,0
115061,0
312220,0
449638,0
359114,0
370700,0
312193,0
201412,0
103655,0
400307,0
324384,0
334449,0
161356,0
185364,0
183648,0
380561,0
196408,0
343170,0
341165,0
367883,0
312020,0
368366,0
217835,0
173561,0
331250,0
187110,0
132191,0
220895,0
258306,0
404115,0
194840,1
196077,0
382644,0
155038,0
265794,0
443673,0
447695,0
105552,0
330645,0
341313,0
227431,0
219992,0
116114,0
306987,0
339638,0
400598,0
366187,0
133701,0
317019,0
361204,0
448908,0
358822,0
392683,0
201506,0
164751,0
174671,0
246772,1
286430,0
267167,0
362099,0
180820,0
131128,0
391359,0
370785,0
306416,0
437059,0
187077,0
283348,0
280910,0
320454,0
127143,0
188956,0
250975,0
389936,0
250782,0
162902,0
420264,0
178007,0
223602,0
207786,0
134762,0
231844,1
182831,0
319974,0
173563,0
342899,0
127719,0
138851,0
275023,0
237360,0
442988,0
201009,0
108368,0
185248,0
185912,0
442406,0
149667,0
388701,0
312692,1
275948,0
269970,0
374753,0
372686,0
229113,0
340345,0
440555,0
104243,0
407292,0
179659,0
438833,0
286728,0
297324,0
318129,0
174654,0
397290,0
437289,0
238076,0
111254,0
425066,0
151791,0
101919,0
152284,1
255993,0
299629,0
340687,0
371779,0
344833,0
205287,0
445485,0
114888,0
216593,0
120888,0
245908,0
199926,0
310481,0
438403,0
180509,0
119865,0
140251,0
305674,0
336676,0
161229,0
402154,1
440190,0
314340,0
174737,0
270603,0
253280,0
384716,1
136049,0
292590,0
175198,0
303093,1
230563,0
373367,0
172492,0
281733,0
300359,0
199729,0
169983,1
251055,0
198796,0
191428,0
363696,0
158328,0
378733,0
407727,0
249678,0
350044,0
354451,0
332636,0
347595,0
298551,0
234920,0
278849,0
357261,0
134806,0
403709,0
252959,0
186409,0
174196,0
122240,0
337248,0
265418,0
436466,0
244680,0
263024,0
395956,0
119705,0
282714,0
453123,0
443497,0
443478,0
227606,0
395419,0
285988,0
454725,0
131414,0
289346,0
287122,0
142368,0
203524,0
333028,0
174599,0
180561,1
443564,0
366707,0
121999,0
425004,0
151283,0
141861,0
431474,0
266292,1
256168,0
118393,0
352433,0
399440,0
335864,0
385990,0
255398,0
443913,0
447224,0
110570,0
113589,1
409765,0
193959,0
150498,0
260350,0
261894,0
151685,0
347982,0
324571,0
358317,0
197893,1
237536,0
399111,0
151271,0
202329,0
316555,0
437792,0
414888,0
401799,0
392014,0
391557,0
337076,0
273803,0
333727,0
386098,0
201309,0
347622,0
261525,0
175600,0
163172,0
422726,0
443763,0
102555,0
392548,0
249087,0
186711,0
208723,0
268113,1
278857,0
455591,0
424183,0
104694,0
240539,1
128925,0
398840,0
258340,0
215509,1
278859,0
273758,0
282271,0
279196,0
257919,0
266258,0
338080,1
229794,0
353076,0
165759,0
157975,0
440133,0
125494,0
219084,0
169610,0
292775,0
165050,0
444536,0
334017,0
432212,0
354807,0
286827,0
256555,0
103700,0
409457,0
178602,0
430619,0
183627,0
279484,0
311524,0
241015,0
208472,0
245477,0
302488,0
184946,0
388936,0
180825,0
440780,0
362970,0
252509,0
217032,0
130136,0
101645,0
209375,0
451821,0
128617,0
112073,0
144875,0
126356,0
401962,0
357622,0
347993,0
217630,0
226768,0
256433,0
258414,0
385989,0
270928,0
422107,0
340847,0
140278,0
171122,0
154803,0
102931,0
400944,0
455197,0
375114,0
382924,0
398039,0
446860,0
339611,0
445379,0
344766,0
136502,0
121034,1
370588,0
144887,0
429240,0
375900,0
112320,0
326458,0
226128,0
125765,0
104559,0
417585,1
322597,0
334342,0
437620,1
414010,0
111790,0
265436,0
368517,0
389638,0
341054,0
174634,0
426101,0
245319,0
417022,0
426524,0
289464,0
243693,0
202357,0
303444,1
338338,0
270751,0
214111,0
211083,0
303165,0
386491,0
373236,0
367948,0
343623,1
321833,0
212543,0
280860,0
363573,0
107493,0
334016,0
117884,0
255166,0
284677,0
173295,0
454689,0
262964,0
342780,0
200959,0
258554,0
220555,0
245929,0
145986,0
230069,1
129521,0
246722,0
330177,1
377576,0
161488,1
190059,0
391857,0
139773,0
193561,0
129486,1
357313,0
438911,0
392377,0
279962,0
249241,0
155953,0
254717,0
152147,0
256189,0
335343,0
195864,0
102234,0
297654,0
331221,0
301475,1
269480,0
410866,1
410003,0
130839,0
322200,0
125571,0
342465,0
384790,0
332849,0
447043,0
414815,0
220450,0
213130,0
250374,0
193278,0
403268,0
250927,0
387152,0
170113,0
174873,0
381582,0
439159,0
412648,0
251899,0
241139,0
286732,0
355295,0
351951,0
388192,0
408322,0
298409,0
245463,0
149190,0
377560,0
285404,0
277383,1
325562,0
194313,0
386439,0
313183,0
293468,0
425067,0
122019,0
220121,0
168242,0
335287,0
262962,1
157485,0
456089,0
175541,0
314798,0
302088,0
408412,0
391609,0
390737,1
374807,0
452054,0
313118,0
375611,0
375536,0
389767,1
292309,0
325528,0
169871,0
214841,0
190742,0
406615,0
287202,0
265740,0
449098,0
336733,0
422460,0
241476,0
406462,0
205633,0
243934,0
230095,0
362106,0
123269,0
448394,0
224816,0
396268,0
326589,0
436763,0
454302,0
284660,0
436621,0
174857,0
456099,0
332987,1
185833,0
369082,0
308837,0
116104,0
255645,0
224151,0
126045,0
142354,0
160704,0
352291,0
268994,0
183673,0
130793,0
441813,0
270429,0
110402,0
451559,0
376891,0
277051,0
306849,1
382669,0
272354,0
390631,0
386891,0
451276,0
215053,0
254152,0
274904,0
310064,1
324397,1
204118,0
292013,0
265826,0
255929,0
328479,0
374965,0
219798,0
351530,0
179363,0
375053,0
268686,0
386482,0
103194,1
445785,0
288352,0
231273,0
132017,0
228213,0
371588,0
353678,0
266705,0
217489,0
305445,0
246176,0
362940,0
100961,0
102526,0
322718,0
201123,0
240735,0
324543,1
334557,0
204878,0
407864,0
203296,0
447714,0
314737,0
132343,0
157792,0
382569,0
352805,0
210384,0
246555,0
367357,0
375560,1
344578,0
357655,0
420658,0
412866,0
313892,0
179282,0
240546,0
131854,0
354525,0
267638,0
250620,0
183525,0
319755,0
195624,0
198722,0
141663,0
200302,0
322688,0
306860,0
171545,0
336790,0
412873,0
305851,0
350136,0
145851,0
164402,0
129604,0
395280,0
429685,0
115522,0
165118,0
377082,0
327298,0
288873,0
428773,0
193405,0
199445,0
169333,0
119728,0
286007,0
390068,0
425762,0
406503,1
134988,0
386553,0
378921,0
224852,0
391852,0
180969,0
446899,0
345100,0
148053,0
303760,0
160985,0
112494,0
171792,0
440805,0
111492,0
419918,0
238167,0
349736,0
298829,1
233812,0
367592,0
431414,0
134958,0
384943,0
228234,0
352121,0
129417,0
404221,0
262218,0
238758,0
370946,0
436798,1
449280,0
407938,0
264369,1
439925,0
190093,0
280514,0
423806,0
251075,0
287797,0
357011,0
126909,0
158597,0
149448,0
319369,0
144766,0
301388,0
237222,0
109164,0
307489,0
196414,0
351781,0
299302,0
124326,0
448947,0
354086,0
106165,0
300855,0
330100,0
307171,0
311416,0
447874,0
384389,0
189914,0
377338,0
264745,0
444414,1
191631,0
329692,0
113918,0
205495,0
211268,0
116530,0
166871,0
219070,0
294711,0
450068,0
198638,0
350379,1
107961,0
246215,1
110855,0
139126,0
151455,0
115787,0
157298,0
412275,1
343523,0
184823,0
241133,0
387008,0
427891,0
284227,0
360647,1
152949,0
155620,0
